episode: 0 | reward: 1.0 | average reward: nan | loss: 0.7934850893098003
episode: 1 | reward: 0.0 | average reward: 1.0 | loss: 0.7898683081567052
episode: 2 | reward: 2.0 | average reward: 0.5 | loss: 0.7993922143684548
episode: 3 | reward: 1.0 | average reward: 1.0 | loss: 0.7871600991915486
episode: 4 | reward: 1.0 | average reward: 1.0 | loss: 0.7849757536474963
episode: 5 | reward: 0.0 | average reward: 1.0 | loss: 0.7895521558294984
episode: 6 | reward: 2.0 | average reward: 0.8333333333333334 | loss: 0.7813649552568677
episode: 7 | reward: 1.0 | average reward: 1.0 | loss: 0.7985306487948058
episode: 8 | reward: 0.0 | average reward: 1.0 | loss: 0.7942492733570894
episode: 9 | reward: 1.0 | average reward: 0.8888888888888888 | loss: 0.7881481437352876
episode: 10 | reward: 1.0 | average reward: 0.9 | loss: 0.12571471955240812
episode: 11 | reward: 2.0 | average reward: 0.9090909090909091 | loss: 0.16462367187456592
episode: 12 | reward: 1.0 | average reward: 1.0 | loss: 0.13932822033813874
episode: 13 | reward: 0.0 | average reward: 1.0 | loss: 0.15542784057793274
episode: 14 | reward: 1.0 | average reward: 0.9285714285714286 | loss: 0.1664627693404295
episode: 15 | reward: 2.0 | average reward: 0.9333333333333333 | loss: 0.13110241298770572
episode: 16 | reward: 0.0 | average reward: 1.0 | loss: 0.1484606374182697
episode: 17 | reward: 0.0 | average reward: 0.9411764705882353 | loss: 0.13266220742090884
episode: 18 | reward: 2.0 | average reward: 0.8888888888888888 | loss: 0.12776576962316036
episode: 19 | reward: 1.0 | average reward: 0.9473684210526315 | loss: 0.1328232973792669
episode: 20 | reward: 0.0 | average reward: 0.95 | loss: 0.1413763937780446
episode: 21 | reward: 2.0 | average reward: 0.9047619047619048 | loss: 0.14273897197143065
episode: 22 | reward: 2.0 | average reward: 0.9545454545454546 | loss: 0.1497819454596825
episode: 23 | reward: 1.0 | average reward: 1.0 | loss: 0.14204054541410038
episode: 24 | reward: 2.0 | average reward: 1.0 | loss: 0.14291430542669878
episode: 25 | reward: 1.0 | average reward: 1.04 | loss: 0.1371757991308551
episode: 26 | reward: 1.0 | average reward: 1.0384615384615385 | loss: 0.1725872087907252
episode: 27 | reward: 2.0 | average reward: 1.037037037037037 | loss: 0.17348159237182176
episode: 28 | reward: 0.0 | average reward: 1.0714285714285714 | loss: 0.16966624642235437
episode: 29 | reward: 0.0 | average reward: 1.0344827586206897 | loss: 0.15709841723336304
episode: 30 | reward: 1.0 | average reward: 1.0 | loss: 0.16085220021784008
episode: 31 | reward: 0.0 | average reward: 1.0 | loss: 0.1307786638210692
episode: 32 | reward: 0.0 | average reward: 0.96875 | loss: 0.14783789872105293
episode: 33 | reward: 0.0 | average reward: 0.9393939393939394 | loss: 0.15779144824341537
episode: 34 | reward: 1.0 | average reward: 0.9117647058823529 | loss: 0.13202858261235162
episode: 35 | reward: 1.0 | average reward: 0.9142857142857143 | loss: 0.14800358811120912
episode: 36 | reward: 1.0 | average reward: 0.9166666666666666 | loss: 0.16247146000594792
episode: 37 | reward: 0.0 | average reward: 0.918918918918919 | loss: 0.14704661380470485
episode: 38 | reward: 0.0 | average reward: 0.8947368421052632 | loss: 0.1324799333155919
episode: 39 | reward: 2.0 | average reward: 0.8717948717948718 | loss: 0.15415663822777587
episode: 40 | reward: 2.0 | average reward: 0.9 | loss: 0.15251698055920176
episode: 41 | reward: 0.0 | average reward: 0.926829268292683 | loss: 0.13008621781321916
episode: 42 | reward: 0.0 | average reward: 0.9047619047619048 | loss: 0.1313332042056449
episode: 43 | reward: 1.0 | average reward: 0.8837209302325582 | loss: 0.1343764046997868
episode: 44 | reward: 2.0 | average reward: 0.8863636363636364 | loss: 0.1698887202986959
episode: 45 | reward: 1.0 | average reward: 0.9111111111111111 | loss: 0.16698932321033258
episode: 46 | reward: 2.0 | average reward: 0.9130434782608695 | loss: 0.1383422609384169
episode: 47 | reward: 0.0 | average reward: 0.9361702127659575 | loss: 0.15520012432970948
episode: 48 | reward: 1.0 | average reward: 0.9166666666666666 | loss: 0.13956409131279116
episode: 49 | reward: 1.0 | average reward: 0.9183673469387755 | loss: 0.165436083867543
episode: 50 | reward: 2.0 | average reward: 0.92 | loss: 0.13460504126235726
episode: 51 | reward: 0.0 | average reward: 0.9411764705882353 | loss: 0.16972549043829982
episode: 52 | reward: 1.0 | average reward: 0.9230769230769231 | loss: 0.14679173629113593
episode: 53 | reward: 1.0 | average reward: 0.9245283018867925 | loss: 0.16556843359257065
episode: 54 | reward: 1.0 | average reward: 0.9259259259259259 | loss: 0.1601232593676188
episode: 55 | reward: 0.0 | average reward: 0.9272727272727272 | loss: 0.14307312779630832
episode: 56 | reward: 2.0 | average reward: 0.9107142857142857 | loss: 0.17105753056023731
episode: 57 | reward: 1.0 | average reward: 0.9298245614035088 | loss: 0.14707180473605427
episode: 58 | reward: 1.0 | average reward: 0.9310344827586207 | loss: 0.16392262852466072
episode: 59 | reward: 1.0 | average reward: 0.9322033898305084 | loss: 0.17409681518685965
episode: 60 | reward: 1.0 | average reward: 0.9333333333333333 | loss: 0.16224388837950363
episode: 61 | reward: 2.0 | average reward: 0.9344262295081968 | loss: 0.1491234139095714
episode: 62 | reward: 0.0 | average reward: 0.9516129032258065 | loss: 0.1292322512834217
episode: 63 | reward: 2.0 | average reward: 0.9365079365079365 | loss: 0.14494400606937166
episode: 64 | reward: 1.0 | average reward: 0.953125 | loss: 0.1654774030516293
episode: 65 | reward: 0.0 | average reward: 0.9538461538461539 | loss: 0.17435908401637001
episode: 66 | reward: 2.0 | average reward: 0.9393939393939394 | loss: 0.1672694823394625
episode: 67 | reward: 0.0 | average reward: 0.9552238805970149 | loss: 0.14815774723117858
episode: 68 | reward: 0.0 | average reward: 0.9411764705882353 | loss: 0.1577853730733448
