episode: 0 | reward: 0.0 | average reward: nan | loss: 0.7917803860799046
episode: 1 | reward: 6.0 | average reward: 0.0 | loss: 0.7850700767610276
episode: 2 | reward: 0.0 | average reward: 3.0 | loss: 0.7903102759004965
episode: 3 | reward: 1.0 | average reward: 2.0 | loss: 0.7833354708074006
episode: 4 | reward: 7.0 | average reward: 1.75 | loss: 0.7860223730337479
episode: 5 | reward: 4.0 | average reward: 2.8 | loss: 0.7848976793262664
episode: 6 | reward: 3.0 | average reward: 3.0 | loss: 0.7894318495606287
episode: 7 | reward: 1.0 | average reward: 3.0 | loss: 0.7964013332859127
episode: 8 | reward: 1.0 | average reward: 2.75 | loss: 0.7889004433139989
episode: 9 | reward: 4.0 | average reward: 2.5555555555555554 | loss: 0.7819004829212111
episode: 10 | reward: 2.0 | average reward: 2.7 | loss: 0.1706349938860265
episode: 11 | reward: 7.0 | average reward: 2.6363636363636362 | loss: 0.16284298300686456
episode: 12 | reward: 0.0 | average reward: 3.0 | loss: 0.1321964609914193
episode: 13 | reward: 7.0 | average reward: 2.769230769230769 | loss: 0.1440131511959455
episode: 14 | reward: 3.0 | average reward: 3.0714285714285716 | loss: 0.15614196091929974
episode: 15 | reward: 5.0 | average reward: 3.066666666666667 | loss: 0.15161252314864276
episode: 16 | reward: 4.0 | average reward: 3.1875 | loss: 0.13167929559485972
episode: 17 | reward: 1.0 | average reward: 3.235294117647059 | loss: 0.1564819813301545
episode: 18 | reward: 6.0 | average reward: 3.111111111111111 | loss: 0.1559672691605163
episode: 19 | reward: 1.0 | average reward: 3.263157894736842 | loss: 0.16865588270365012
episode: 20 | reward: 6.0 | average reward: 3.15 | loss: 0.1653011300635643
episode: 21 | reward: 3.0 | average reward: 3.2857142857142856 | loss: 0.15543032283068892
episode: 22 | reward: 3.0 | average reward: 3.272727272727273 | loss: 0.14959183302635776
episode: 23 | reward: 5.0 | average reward: 3.260869565217391 | loss: 0.15014504062815145
episode: 24 | reward: 3.0 | average reward: 3.3333333333333335 | loss: 0.15096055004263564
episode: 25 | reward: 3.0 | average reward: 3.32 | loss: 0.1498567062798366
episode: 26 | reward: 4.0 | average reward: 3.3076923076923075 | loss: 0.15832893329257372
episode: 27 | reward: 6.0 | average reward: 3.3333333333333335 | loss: 0.1675239074971739
episode: 28 | reward: 5.0 | average reward: 3.4285714285714284 | loss: 0.17414071599566727
episode: 29 | reward: 4.0 | average reward: 3.4827586206896552 | loss: 0.17302709456619952
episode: 30 | reward: 4.0 | average reward: 3.5 | loss: 0.12781389667724863
episode: 31 | reward: 0.0 | average reward: 3.5161290322580645 | loss: 0.1405702966317845
episode: 32 | reward: 3.0 | average reward: 3.40625 | loss: 0.13756664633130333
episode: 33 | reward: 0.0 | average reward: 3.393939393939394 | loss: 0.15951487110717844
episode: 34 | reward: 7.0 | average reward: 3.2941176470588234 | loss: 0.17482621370907844
episode: 35 | reward: 4.0 | average reward: 3.4 | loss: 0.1384783232740001
episode: 36 | reward: 5.0 | average reward: 3.4166666666666665 | loss: 0.15194062752867032
episode: 37 | reward: 1.0 | average reward: 3.4594594594594597 | loss: 0.1482640133059138
episode: 38 | reward: 4.0 | average reward: 3.3947368421052633 | loss: 0.14899251701642952
episode: 39 | reward: 0.0 | average reward: 3.41025641025641 | loss: 0.1495765119971434
episode: 40 | reward: 5.0 | average reward: 3.325 | loss: 0.13347799812632216
episode: 41 | reward: 4.0 | average reward: 3.3658536585365852 | loss: 0.13708265054579669
episode: 42 | reward: 4.0 | average reward: 3.380952380952381 | loss: 0.16803255085680355
episode: 43 | reward: 3.0 | average reward: 3.395348837209302 | loss: 0.15234716585610658
episode: 44 | reward: 2.0 | average reward: 3.3863636363636362 | loss: 0.16650743005420537
episode: 45 | reward: 6.0 | average reward: 3.3555555555555556 | loss: 0.13663604405303179
episode: 46 | reward: 6.0 | average reward: 3.4130434782608696 | loss: 0.13583519307741962
episode: 47 | reward: 0.0 | average reward: 3.4680851063829787 | loss: 0.14261518072059856
episode: 48 | reward: 7.0 | average reward: 3.3958333333333335 | loss: 0.15787684416740327
episode: 49 | reward: 7.0 | average reward: 3.4693877551020407 | loss: 0.15003130426353575
episode: 50 | reward: 0.0 | average reward: 3.54 | loss: 0.15166769651479245
episode: 51 | reward: 0.0 | average reward: 3.4705882352941178 | loss: 0.12529905218466317
episode: 52 | reward: 4.0 | average reward: 3.4038461538461537 | loss: 0.1681751611215782
episode: 53 | reward: 0.0 | average reward: 3.4150943396226414 | loss: 0.13621549087505816
episode: 54 | reward: 5.0 | average reward: 3.3518518518518516 | loss: 0.14659802202915412
episode: 55 | reward: 4.0 | average reward: 3.381818181818182 | loss: 0.14222776991787328
episode: 56 | reward: 4.0 | average reward: 3.392857142857143 | loss: 0.13448646883407478
episode: 57 | reward: 7.0 | average reward: 3.4035087719298245 | loss: 0.16472300914144516
episode: 58 | reward: 6.0 | average reward: 3.4655172413793105 | loss: 0.15257783976230838
episode: 59 | reward: 2.0 | average reward: 3.5084745762711864 | loss: 0.14773303698393886
episode: 60 | reward: 1.0 | average reward: 3.4833333333333334 | loss: 0.12575497052051002
episode: 61 | reward: 2.0 | average reward: 3.442622950819672 | loss: 0.14597024540691728
episode: 62 | reward: 3.0 | average reward: 3.4193548387096775 | loss: 0.1685420103118449
episode: 63 | reward: 3.0 | average reward: 3.4126984126984126 | loss: 0.14932918764991868
episode: 64 | reward: 1.0 | average reward: 3.40625 | loss: 0.12784626312210276
episode: 65 | reward: 4.0 | average reward: 3.3692307692307693 | loss: 0.1318465567245764
episode: 66 | reward: 6.0 | average reward: 3.378787878787879 | loss: 0.1605046395417167
episode: 67 | reward: 3.0 | average reward: 3.417910447761194 | loss: 0.15718550121891803
episode: 68 | reward: 7.0 | average reward: 3.411764705882353 | loss: 0.13609198466278974
episode: 69 | reward: 0.0 | average reward: 3.463768115942029 | loss: 0.17148708648142696
episode: 70 | reward: 1.0 | average reward: 3.414285714285714 | loss: 0.1674986613774516
episode: 71 | reward: 7.0 | average reward: 3.380281690140845 | loss: 0.1522640969144373
episode: 72 | reward: 7.0 | average reward: 3.4305555555555554 | loss: 0.14369111279267613
episode: 73 | reward: 2.0 | average reward: 3.4794520547945207 | loss: 0.14465666789412068
episode: 74 | reward: 7.0 | average reward: 3.4594594594594597 | loss: 0.16989810545790854
episode: 75 | reward: 6.0 | average reward: 3.506666666666667 | loss: 0.15721204719728918
episode: 76 | reward: 6.0 | average reward: 3.539473684210526 | loss: 0.13557370408448677
